"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 04 05:08:01 WIB 2023","Mon Sep 04 05:08:01 WIB 2023","137","","Access a Product via Search: User Access a Product via search bar and verify the result","","","","When user Type Samsung search string in the search bar",""
"unknown","Mon Sep 04 05:08:07 WIB 2023","Mon Sep 04 05:08:10 WIB 2023","2679","","Access a Product via Search: User Access a Product via search bar and verify the result","","","","And user Change the Search 1249 and click search",""
"passed","Mon Sep 04 05:08:11 WIB 2023","Mon Sep 04 05:08:13 WIB 2023","1407","","Accessing a Product via Category with Applied Filters: Access a Product via category after applying multiple filters","","","","Given user at Ebay main Menu selection",""
"passed","Mon Sep 04 05:08:26 WIB 2023","Mon Sep 04 05:08:26 WIB 2023","0","","Accessing a Product via Category with Applied Filters: Access a Product via category after applying multiple filters","","","","",""
"passed","Mon Sep 04 05:08:18 WIB 2023","Mon Sep 04 05:08:24 WIB 2023","5963","","Accessing a Product via Category with Applied Filters: Access a Product via category after applying multiple filters","","","","And user Add 3 filters - 5.5 - 5.9 in size, Price 6000000 20000000 and Item Asia appearing in the pop-up and click apply",""
"passed","Mon Sep 04 05:08:02 WIB 2023","Mon Sep 04 05:08:08 WIB 2023","5802","","Accessing a Product via Category with Applied Filters: Access a Product via category after applying multiple filters","","","","And user Add 3 filters - 5.0 - 5.4 in size, Price 5000000 19000000 and Item Europe appearing in the pop-up and click apply",""
"unknown","Mon Sep 04 05:08:07 WIB 2023","Mon Sep 04 05:08:10 WIB 2023","2883","","Access a Product via Search: User Access a Product via search bar and verify the result","","","","When user Type PS5 search string in the search bar",""
"passed","Mon Sep 04 05:08:10 WIB 2023","Mon Sep 04 05:08:10 WIB 2023","2","","Access a Product via Search: User Access a Product via search bar and verify the result","","","","",""
"passed","Mon Sep 04 05:07:56 WIB 2023","Mon Sep 04 05:07:57 WIB 2023","353","","Access a Product via Search: User Access a Product via search bar and verify the result","","","","When user Type MacBook search string in the search bar",""
"unknown","Mon Sep 04 05:08:05 WIB 2023","Mon Sep 04 05:08:05 WIB 2023","11","","Access a Product via Search: User Access a Product via search bar and verify the result","","","","Then user Verify that the first result name matches with the Samsung search string",""
"passed","Mon Sep 04 05:08:15 WIB 2023","Mon Sep 04 05:08:17 WIB 2023","2192","","Accessing a Product via Category with Applied Filters: Access a Product via category after applying multiple filters","","","","And user click Cell Phones & Smartphones in the left hand side navigation section",""
"unknown","Mon Sep 04 05:08:24 WIB 2023","Mon Sep 04 05:08:26 WIB 2023","2670","","Accessing a Product via Category with Applied Filters: Access a Product via category after applying multiple filters","","","","Then user should see filter tags already applied",""
"unknown","Mon Sep 04 05:08:01 WIB 2023","Mon Sep 04 05:08:05 WIB 2023","4176","","Access a Product via Search: User Access a Product via search bar and verify the result","","","","And user Change the Search 15032 and click search",""
"passed","Mon Sep 04 05:08:13 WIB 2023","Mon Sep 04 05:08:15 WIB 2023","2080","","Accessing a Product via Category with Applied Filters: Access a Product via category after applying multiple filters","","","","When user Navigate to Search by category > Electronics > Cell Phones & accessories",""
"passed","Mon Sep 04 05:08:17 WIB 2023","Mon Sep 04 05:08:18 WIB 2023","730","","Accessing a Product via Category with Applied Filters: Access a Product via category after applying multiple filters","","","","And user click - More refinements",""
"passed","Mon Sep 04 05:07:57 WIB 2023","Mon Sep 04 05:08:00 WIB 2023","2826","","Access a Product via Search: User Access a Product via search bar and verify the result","","","","And user Change the Search 58058 and click search",""
"unknown","Mon Sep 04 05:08:00 WIB 2023","Mon Sep 04 05:08:00 WIB 2023","23","","Access a Product via Search: User Access a Product via search bar and verify the result","","","","Then user Verify that the first result name matches with the MacBook search string",""
"passed","Mon Sep 04 05:08:05 WIB 2023","Mon Sep 04 05:08:07 WIB 2023","1542","","Access a Product via Search: User Access a Product via search bar and verify the result","","","","Given user at Ebay main Menu selection",""
"unknown","Mon Sep 04 05:08:10 WIB 2023","Mon Sep 04 05:08:10 WIB 2023","26","","Access a Product via Search: User Access a Product via search bar and verify the result","","","","Then user Verify that the first result name matches with the PS5 search string",""
